INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_50_100_3_5_5.txt;1967;2417;0;1857;2247;10001;669;919;10001;2005;2455;0;2005;2455;2;2005;2455;15
;problem_50_100_4_1_5.txt;439;439;0;439;439;10001;439;439;0;439;439;0;439;439;0;439;439;9
;problem_50_100_4_2_5.txt;908;908;0;931;931;10001;931;931;367;931;931;0;931;931;0;931;931;8
;problem_50_100_4_3_5.txt;1285;1285;0;1310;1310;10001;1310;1310;7733;1310;1310;0;1310;1310;0;1310;1310;8
;problem_50_100_4_4_5.txt;1544;1544;0;1550;1550;10001;1481;1481;10001;1557;1557;0;1557;1557;1;1557;1557;7
;problem_50_100_4_5_5.txt;2000;2000;0;1789;1789;10001;1286;1286;10001;2005;2005;0;2005;2005;1;2005;2005;26
;problem_50_500_1_1_5.txt;2030;6037;0;2059;3291;10001;2071;6082;5;2071;6082;0;2071;6082;1;2071;6082;11
;problem_50_500_1_2_5.txt;3757;7551;0;4000;5429;10001;4001;7819;276;4001;7819;0;4001;7819;2;4001;7819;15
;problem_50_500_1_3_5.txt;6076;10668;0;6258;7764;10001;6257;10770;1878;6257;10770;0;6257;10770;3;6257;10770;13
;problem_50_500_1_4_5.txt;7984;9859;0;8346;8008;10001;4961;7719;10001;8325;10012;0;8325;10012;6;8325;10012;18
;problem_50_500_1_5_5.txt;11000;13517;0;9646;10132;10001;4802;9050;10001;11145;13550;0;11145;13550;12;11145;13550;17
;problem_50_500_2_1_5.txt;1671;1998;0;2080;2169;10001;2076;2436;0;2076;2436;0;2076;2436;0;2076;2436;30
;problem_50_500_2_2_5.txt;3791;4308;0;4006;4160;10001;4005;4533;154;4005;4533;0;4005;4533;2;4005;4533;46
;problem_50_500_2_3_5.txt;6265;6900;0;6269;6513;10001;5877;6503;10001;6265;6900;0;6265;6900;4;6265;6900;19
;problem_50_500_2_4_5.txt;8019;8652;0;8325;8459;10001;5646;6351;10001;8351;8946;0;8351;8946;6;8351;8946;35
;problem_50_500_2_5_5.txt;11221;11381;0;10251;10179;10001;6578;7011;10001;11238;11390;0;11238;11390;9;11238;11390;50
;problem_50_500_3_1_5.txt;2194;2394;0;2237;2347;10001;2232;2432;429;2232;2432;0;2232;2432;1;2232;2432;230
;problem_50_500_3_2_5.txt;4472;4742;0;4664;4854;10001;3871;4121;10001;4664;4934;0;4664;4934;3;4664;4934;13
;problem_50_500_3_3_5.txt;6293;6643;0;6460;6740;10001;2931;3181;10001;6460;6810;0;6460;6810;6;6460;6810;27
;problem_50_500_3_4_5.txt;8607;9007;0;8680;9030;10001;3732;3982;10001;8690;9090;0;8690;9090;10;8690;9090;23
;problem_50_500_3_5_5.txt;11601;12041;0;10557;10947;10001;3906;4156;10001;12005;12445;0;12005;12445;13;12004;12444;14
;problem_50_500_4_1_5.txt;2236;2236;0;2239;2239;10001;2239;2239;2;2239;2239;0;2239;2239;0;2239;2239;11
;problem_50_500_4_2_5.txt;4571;4571;0;4664;4664;10001;4664;4664;118;4664;4664;0;4664;4664;1;4664;4664;6
;problem_50_500_4_3_5.txt;6381;6381;0;6460;6460;10001;6169;6169;10001;6460;6460;0;6460;6460;2;6460;6460;22
;problem_50_500_4_4_5.txt;8409;8409;0;8679;8679;10001;6381;6381;10001;8690;8690;0;8690;8690;4;8690;8690;35
;problem_50_500_4_5_5.txt;11936;11936;0;10389;10389;10001;7486;7486;10001;12005;12005;0;12005;12005;10;12004;12004;16
;problem_50_1000_1_1_5.txt;3763;15224;0;3884;7221;10001;3841;15314;33;3841;15314;0;3841;15314;1;3841;15314;14
;problem_50_1000_1_2_5.txt;8173;16812;0;8465;11818;10001;8483;17088;782;8483;17088;0;8483;17088;4;8483;17088;16
;problem_50_1000_1_3_5.txt;12983;20189;0;12995;15421;10001;12983;20189;4338;12983;20189;0;12983;20189;7;12983;20189;11
;problem_50_1000_1_4_5.txt;14318;22030;0;14551;17838;10001;9111;17185;10001;14668;22276;0;14668;22276;9;14668;22276;13
;problem_50_1000_1_5_5.txt;22789;20394;0;19929;16107;10001;12302;16189;10001;22789;20394;0;22789;20394;20;22789;20394;9
;problem_50_1000_2_1_5.txt;3469;4316;0;3911;4090;10001;3913;4789;5;3913;4789;0;3913;4789;1;3913;4789;30
;problem_50_1000_2_2_5.txt;8259;9391;0;8504;8879;10001;8507;9640;434;8507;9640;0;8507;9640;3;8507;9640;20
;problem_50_1000_2_3_5.txt;12763;14187;0;12993;13316;10001;12763;14187;10001;13002;14405;0;13002;14405;6;13002;14405;45
;problem_50_1000_2_4_5.txt;14417;15872;0;14669;15108;10001;10658;12075;10001;14679;16120;0;14679;16120;9;14679;16120;21
;problem_50_1000_2_5_5.txt;22698;22946;0;19935;19679;10001;16955;17706;10001;22888;23098;0;22910;23098;17;22888;23098;39
;problem_50_1000_3_1_5.txt;4153;4343;0;4322;4432;10001;4322;4512;350;4322;4512;0;4322;4512;2;4322;4512;29
;problem_50_1000_3_2_5.txt;9216;9466;0;9664;9854;10001;9216;9466;10001;9664;9914;0;9664;9914;6;9664;9914;251
;problem_50_1000_3_3_5.txt;12931;13271;0;13209;13489;10001;7644;7894;10001;13210;13550;0;13210;13550;11;13210;13550;460
;problem_50_1000_3_4_5.txt;14950;15360;0;15023;15363;10001;5758;6008;10001;15024;15424;0;15024;15424;15;15024;15424;914
;problem_50_1000_3_5_5.txt;20179;20629;0;19673;20063;10001;6084;6334;10001;20755;21205;0;20755;21205;24;20755;21205;123
;problem_50_1000_4_1_5.txt;4254;4254;0;4322;4322;10001;4322;4322;2;4322;4322;0;4322;4322;0;4322;4322;10
;problem_50_1000_4_2_5.txt;9308;9308;0;9664;9664;10001;9664;9664;111;9664;9664;0;9664;9664;2;9664;9664;6
;problem_50_1000_4_3_5.txt;12645;12645;0;13210;13210;10001;12169;12169;10001;13210;13210;0;13210;13210;5;13210;13210;50
;problem_50_1000_4_4_5.txt;14909;14909;0;15024;15024;10001;10881;10881;10001;15024;15024;0;15024;15024;9;15024;15024;13
;problem_50_1000_4_5_5.txt;20351;20351;0;17889;17889;10001;12486;12486;10001;20755;20755;0;20755;20755;15;20754;20754;23
;problem_100_50_1_1_5.txt;471;1223;0;486;640;10001;297;950;10001;488;1244;0;488;1244;0;488;1244;17
;problem_100_50_1_2_5.txt;744;1648;0;779;1003;10001;182;910;10001;779;1675;0;779;1675;1;779;1675;12
;problem_100_50_1_3_5.txt;1207;2066;0;1241;1540;10001;254;863;10001;1243;2094;0;1244;2094;3;1244;2094;13
;problem_100_50_1_4_5.txt;1642;2319;0;1502;1667;10001;209;816;10001;1664;2330;0;1664;2330;6;1664;2330;18
;problem_100_50_1_5_5.txt;2182;2415;0;1616;1733;10001;185;702;10001;2182;2415;0;2186;2415;8;2182;2415;10
;problem_100_50_2_1_5.txt;445;534;0;486;503;10001;488;581;761;488;581;0;488;581;0;488;581;17
;problem_100_50_2_2_5.txt;767;916;0;779;827;10001;253;340;10001;779;928;0;779;928;1;779;928;28
;problem_100_50_2_3_5.txt;1241;1341;0;1244;1251;10001;491;573;10001;1244;1344;0;1244;1344;3;1244;1344;9
;problem_100_50_2_4_5.txt;1656;1788;0;1551;1561;10001;443;537;10001;1664;1795;0;1664;1795;4;1664;1795;15
;problem_100_50_2_5_5.txt;2176;2270;0;1734;1761;10001;430;524;10001;2191;2283;0;2191;2283;9;2191;2283;14
;problem_100_50_3_1_5.txt;477;837;0;480;670;10001;254;504;10001;480;840;0;480;840;1;480;840;7
;problem_100_50_3_2_5.txt;802;1392;0;831;1211;10001;129;369;10001;831;1421;0;831;1421;2;831;1421;40
;problem_100_50_3_3_5.txt;1268;1958;0;1276;1826;10001;179;419;10001;1276;1966;0;1276;1966;4;1276;1966;42
;problem_100_50_3_4_5.txt;1708;2518;0;1620;2290;10001;140;380;10001;1743;2553;0;1743;2553;7;1743;2553;9
;problem_100_50_3_5_5.txt;1992;2902;0;1488;2158;10001;141;381;10001;2011;2921;0;2011;2921;8;2011;2921;33
;problem_100_50_4_1_5.txt;437;437;0;480;480;10001;480;480;99;480;480;0;480;480;0;480;480;10
;problem_100_50_4_2_5.txt;830;830;0;831;831;10001;701;701;10001;831;831;0;831;831;0;831;831;7
;problem_100_50_4_3_5.txt;1261;1261;0;1276;1276;10001;655;655;10001;1276;1276;0;1276;1276;1;1276;1276;8
;problem_100_50_4_4_5.txt;1719;1719;0;1742;1742;10001;651;651;10001;1743;1743;0;1743;1743;3;1743;1743;8
;problem_100_50_4_5_5.txt;2005;2005;0;1538;1538;10001;543;543;10001;2011;2011;0;2011;2011;5;2011;2011;9
;problem_100_100_1_1_5.txt;941;2299;0;921;1158;10001;612;1816;10001;941;2299;0;941;2299;1;941;2299;11
;problem_100_100_1_2_5.txt;1632;3377;0;1673;2219;10001;360;1610;10001;1676;3412;0;1676;3412;3;1676;3412;21
;problem_100_100_1_3_5.txt;2685;4068;0;2716;3030;10001;531;1682;10001;2718;4093;0;2718;4093;7;2718;4093;12
;problem_100_100_1_4_5.txt;3187;4474;0;3028;3440;10011;485;1900;10015;3228;4492;0;3228;4492;10;3228;4492;15
;problem_100_100_1_5_5.txt;4322;4905;0;3292;3643;10015;635;1746;10015;4354;4916;0;4354;4916;15;4354;4916;18
;problem_100_100_2_1_5.txt;881;1067;0;945;968;10015;776;949;10015;946;1137;0;946;1137;1;946;1137;127
;problem_100_100_2_2_5.txt;1642;1923;0;1677;1749;10015;671;849;10015;1679;1960;0;1679;1960;4;1679;1960;25
;problem_100_100_2_3_5.txt;2717;2970;0;2716;2796;10015;756;905;10015;2719;2972;0;2719;2972;6;2719;2972;8
;problem_100_100_2_4_5.txt;3197;3469;0;3137;3225;10015;575;742;10015;3229;3499;0;3230;3499;10;3229;3499;21
;problem_100_100_2_5_5.txt;4319;4568;0;3401;3507;10015;695;866;10015;4358;4600;0;4358;4600;16;4358;4600;37
;problem_100_100_3_1_5.txt;853;1253;0;880;1070;10015;367;617;10015;880;1280;0;880;1280;1;880;1280;30
;problem_100_100_3_2_5.txt;1717;2267;0;1765;2155;10015;311;551;10015;1765;2315;0;1765;2315;4;1765;2315;35
;problem_100_100_3_3_5.txt;2524;3234;0;2526;3086;10015;332;572;10015;2526;3236;0;2526;3236;8;2526;3236;13
;problem_100_100_3_4_5.txt;3079;3909;0;2879;3549;10015;190;430;10015;3143;3973;0;3143;3973;13;3143;3973;46
;problem_100_100_3_5_5.txt;4011;4921;0;2990;3660;10015;352;592;10015;4053;4963;0;4053;4963;17;4053;4963;21
